gene,cluster
Mast3,#F8766D
Large1,#7CAE00
Nr3c2,#CD9600
Gab1,#7CAE00
Nfix,#F8766D
Gpt2,#F8766D
Itfg1,#7CAE00
Phkb,#F8766D
Lonp2,#CD9600
Papd5,#00BFC4
Chd9,#F8766D
Fto,#F8766D
Ces1b,#F8766D
Ces1c,#CD9600
Ces1d,#00BFC4
Ces1f,#F8766D
Amfr,#F8766D
Herpud1,#F8766D
Cnot1,#F8766D
Ces3a,#00BE67
Ces3b,#00BE67
Ranbp10,#CD9600
Nfatc3,#7CAE00
Cyb5b,#F8766D
Nfat5,#7CAE00
Zfhx3,#F8766D
Ap1g1,#7CAE00
Tat,#00BE67
Cog4,#F8766D
Znrf1,#F8766D
Nudt7,#00BE67
Wwox,#F8766D
Cmip,#00A9FF
Sdr42e1,#F8766D
Hsd17b2,#00BE67
Gm20388,#00BFC4
Car5a,#CD9600
Ankrd11,#F8766D
Pard3,#CD9600
Nrp1,#CD9600
Flnb,#7CAE00
Acox2,#CD9600
Fhit,#F8766D
Ptprg,#F8766D
Atxn7,#F8766D
Thrb,#00BE67
Gm48321,#00A9FF
Nr1d2,#7CAE00
Kcnk5,#F8766D
Vcl,#7CAE00
Ap3m1,#F8766D
Adk,#00BE67
Kat6b,#F8766D
Zmiz1,#F8766D
Zcchc24,#CD9600
Slmap,#7CAE00
Arhgef3,#CD9600
Fam208a,#00BFC4
Erc2,#F8766D
Sfmbt1,#F8766D
Itih4,#F8766D
Itih3,#CD9600
Pbrm1,#7CAE00
Nisch,#F8766D
Ankrd28,#00BFC4
Fam35a,#00BFC4
Glud1,#CD9600
Wapl,#F8766D
Mat1a,#00BE67
Gch1,#F8766D
Fbxo34,#F8766D
Tmem260,#7CAE00
Ndrg2,#CD9600
Hnrnpc,#F8766D
Acin1,#F8766D
Gm16573,#F8766D
Zmym5,#F8766D
Zmym2,#F8766D
Cab39l,#F8766D
Spata13,#7CAE00
Ints6,#7CAE00
Wdfy2,#7CAE00
Msra,#CD9600
Kif13b,#CD9600
Zfp395,#F8766D
Ephx2,#CD9600
Dock5,#F8766D
AC151836.1,#00BFC4
Slc39a14,#CD9600
Bmp1,#CD9600
Xpo7,#7CAE00
Fndc3a,#F8766D
Lrch1,#00BFC4
Lcp1,#F8766D
Cpb2,#CD9600
Zc3h13,#F8766D
Vwa8,#CD9600
Elf1,#7CAE00
Klf12,#00BE67
Mycbp2,#F8766D
Rbm26,#F8766D
Mbnl2,#F8766D
Clybl,#CD9600
Pcca,#CD9600
Ggact,#00A9FF
Arhgap42,#CD9600
Ldlr,#CD9600
Zfp809,#F8766D
Zbtb44,#F8766D
Aplp2,#7CAE00
St3gal4,#F8766D
Sc5d,#00A9FF
Arhgef12,#F8766D
Oaf,#CD9600
Ddx6,#7CAE00
Ube4a,#F8766D
Rnf214,#F8766D
Sik3,#CD9600
Apoa5,#F8766D
Zpr1,#F8766D
Zbtb16,#F8766D
Rdx,#F8766D
Acat1,#CD9600
Ireb2,#F8766D
Hykk,#CD9600
Nrg4,#7CAE00
Etfa,#00A9FF
Scaper,#7CAE00
Peak1,#F8766D
Arih1,#F8766D
Pias1,#7CAE00
Map2k5,#F8766D
Hacd3,#F8766D
Clpx,#F8766D
Zfp609,#7CAE00
Trip4,#CD9600
Usp3,#F8766D
Rora,#00BFC4
Myo1e,#F8766D
Rnf111,#F8766D
Sltm,#7CAE00
Mindy2,#7CAE00
Lipc,#CD9600
Tcf12,#7CAE00
Zfp280d,#7CAE00
Rfx7,#F8766D
Nedd4,#F8766D
Fam214a,#00BE67
Gclc,#7CAE00
Elovl5,#00A9FF
Senp6,#7CAE00
Myo6,#F8766D
Bckdhb,#CD9600
Mthfs,#7CAE00
U2surp,#7CAE00
Stag1,#7CAE00
Msl2,#7CAE00
Ppp2r3a,#7CAE00
1300017J02Rik,#CD9600
Acad11,#CD9600
Ackr4,#00A9FF
Alas1,#CD9600
Rad54l2,#F8766D
Slc38a3,#00BE67
Rbm5,#F8766D
Rbm6,#F8766D
Qrich1,#7CAE00
Slc25a20,#CD9600
Setd2,#7CAE00
Lrrfip2,#7CAE00
Cmtm8,#CD9600
Golga4,#F8766D
Acaa1b,#CD9600
Xylb,#F8766D
Trak1,#CD9600
Nktr,#7CAE00
Snrk,#7CAE00
Tcaim,#F8766D
Zfp445,#F8766D
Drg1,#7CAE00
Sec14l2,#CD9600
Mtmr3,#F8766D
Nipsnap1,#CD9600
Ewsr1,#F8766D
Urgcp,#7CAE00
Gck,#F8766D
Ogdh,#F8766D
Ddc,#CD9600
Cobl,#7CAE00
Egfr,#00BE67
Egfros,#CD9600
Ugp2,#F8766D
Ehbp1,#F8766D
Usp34,#F8766D
5730522E02Rik,#F8766D
Ppp4r3b,#7CAE00
Psme4,#F8766D
Cpeb4,#F8766D
Wwc1,#7CAE00
Adra1b,#CD9600
Canx,#7CAE00
Clk4,#F8766D
Sec24a,#CD9600
Aff4,#7CAE00
Fnip1,#7CAE00
Rapgef6,#7CAE00
Larp1,#F8766D
Mprip,#7CAE00
Pemt,#CD9600
Srebf1,#F8766D
Tom1l2,#F8766D
Shmt1,#F8766D
Slc47a1,#CD9600
Ulk2,#F8766D
Akap10,#7CAE00
Ncor1,#F8766D
Map2k4,#7CAE00
Stx8,#F8766D
Chd3,#CD9600
Rabep1,#F8766D
Ube2g1,#F8766D
Zzef1,#F8766D
Pafah1b1,#7CAE00
Srr,#CD9600
Smg6,#F8766D
Tlcd2,#00BFC4
Scarf1,#00A9FF
Ssh2,#7CAE00
Taok1,#7CAE00
Nufip2,#7CAE00
Myo18a,#F8766D
Pipox,#CD9600
Fam222b,#F8766D
Lgals9,#00A9FF
Wsb1,#7CAE00
Nf1,#7CAE00
Adap2,#F8766D
Rhot1,#F8766D
Zfp207,#7CAE00
Psmd11,#F8766D
Rffl,#F8766D
Taf15,#F8766D
Synrg,#7CAE00
Acaca,#F8766D
Ggnbp2,#CD9600
Usp32,#7CAE00
Bcas3,#CD9600
Med13,#F8766D
Rps6kb1,#7CAE00
Vmp1,#7CAE00
Msi2,#00BFC4
Akap1,#CD9600
4930556N13Rik,#CD9600
Mbtd1,#7CAE00
Spag9,#F8766D
Spop,#F8766D
Fbxl20,#F8766D
Cdk12,#F8766D
Igfbp4,#CD9600
Dnajc7,#F8766D
Stat5b,#F8766D
Stat3,#F8766D
G6pc,#CD9600
Nbr1,#CD9600
Gpatch8,#F8766D
Kansl1,#F8766D
Tlk2,#7CAE00
Ern1,#F8766D
Tex2,#F8766D
Ddx5,#CD9600
Smurf2,#F8766D
Pitpnc1,#CD9600
Helz,#7CAE00
Abca8b,#00A9FF
Abca8a,#CD9600
Abca6,#CD9600
Map2k6,#00BFC4
Fads6,#CD9600
Acox1,#00BE67
Srsf2,#7CAE00
Tnrc6c,#F8766D
Cyth1,#CD9600
Rptor,#F8766D
Nploc4,#F8766D
Gcgr,#CD9600
Pcyt2,#00BE67
Mafg,#F8766D
Wdr45b,#F8766D
Gdi2,#7CAE00
Gm36264,#F8766D
Larp4b,#F8766D
Dip2c,#F8766D
Zmynd11,#7CAE00
Lgals8,#F8766D
Lyst,#F8766D
Arid4b,#F8766D
Sugct,#CD9600
Cdk13,#7CAE00
Zkscan3,#CD9600
Slc17a2,#CD9600
Slc17a3,#00A9FF
Carmil1,#00BFC4
Cmah,#00BE67
Gm11342,#CD9600
Ripor2,#00A9FF
BC005537,#7CAE00
Gpld1,#CD9600
Cdkal1,#F8766D
Prpf4b,#F8766D
Eci2,#CD9600
Fars2,#F8766D
Rreb1,#CD9600
Gcnt2,#F8766D
Elovl2,#CD9600
Adtrp,#F8766D
Ranbp9,#F8766D
Jarid2,#F8766D
Atxn1,#CD9600
Fam120a,#7CAE00
Uimc1,#F8766D
Nsd1,#F8766D
F12,#F8766D
Dapk1,#CD9600
Gm48228,#F8766D
Fbp1,#00BE67
2010111I01Rik,#00BFC4
Slc35d2,#F8766D
Cdc14b,#7CAE00
Ell2,#F8766D
Fam172a,#7CAE00
Acot12,#CD9600
Bhmt,#00BE67
Gm15622,#F8766D
Bhmt2,#CD9600
Dmgdh,#CD9600
Ap3b1,#F8766D
Iqgap2,#CD9600
Col4a3bp,#7CAE00
Fcho2,#7CAE00
Tnpo1,#7CAE00
Mccc2,#F8766D
Pik3r1,#F8766D
Srek1,#7CAE00
Erbin,#7CAE00
Arl15,#CD9600
Ndufs4,#7CAE00
Rab10,#7CAE00
Asxl2,#F8766D
Dtnb,#F8766D
Ncoa1,#7CAE00
Itsn2,#7CAE00
Atad2b,#F8766D
